carpark_number,update_datetime,total_lots,lot_type,lots_available
J32,2022-07-01T00:56:16,199,C,71
A11,2022-07-01T00:58:51,368,C,133
TR1,2022-07-01T00:57:52,391,C,93
JBM,2022-07-01T00:59:20,342,C,214
TE2,2022-07-01T00:58:59,213,C,127
CR31,2022-07-01T00:55:40,93,C,14
J1,2022-07-01T00:58:46,368,C,113
J2,2022-07-01T00:58:11,200,C,84
J3,2022-07-01T00:57:54,308,C,108
T37,2022-07-01T00:57:02,1163,C,404
KB3,2022-07-01T00:58:04,149,C,54
KBM,2022-07-01T00:57:55,239,C,129
J4,2022-07-01T00:58:11,172,C,31
TGM1,2022-07-01T00:59:21,388,C,207
TG3,2022-07-01T00:59:20,208,C,60
TG6,2022-07-01T00:59:20,176,C,71
TG7,2022-07-01T00:59:20,362,C,125
CR30,2022-07-01T00:55:26,54,C,0
RCM,2022-07-01T00:55:26,151,C,53
EPM,2022-07-01T00:59:10,286,C,119
TGM3,2022-07-01T00:58:55,553,C,170
KB14,2022-07-01T00:56:40,58,C,46
J41,2022-07-01T00:55:08,350,C,78
JBM2,2022-07-01T00:58:59,144,C,28
J39,2022-07-01T00:57:44,250,C,43
J52,2022-07-01T00:58:10,626,C,17
J51,2022-07-01T00:57:59,655,C,259
J53,2022-07-01T00:58:02,215,C,43
T19,2022-07-01T00:56:48,881,C,103
J49,2022-07-01T00:58:17,922,C,504
J27,2022-07-01T00:58:05,291,C,49
TB14,2022-07-01T00:59:19,43,C,0
U19,2022-07-01T00:58:26,501,C,203
U6,2022-07-01T00:56:20,95,C,54
U45,2022-07-01T00:58:26,159,C,36
BBM7,2022-07-01T00:57:51,175,C,149
BE12,2022-07-01T00:58:37,459,C,114
HG41,2022-07-01T00:56:46,461,C,56
HG43,2022-07-01T00:56:55,487,C,139
MN1,2022-07-01T00:57:32,257,C,48
MNRM,2022-07-01T00:57:46,355,C,160
MN2,2022-07-01T00:57:55,303,C,88
C7,2022-06-30T20:18:10,459,C,218
C17,2022-07-01T00:40:10,66,C,42
C20M,2022-07-01T00:58:56,550,C,444
T41,2022-07-01T00:56:48,202,C,124
T42,2022-07-01T00:57:12,86,C,35
TM42,2022-07-01T00:56:49,261,C,232
J48,2022-07-01T00:57:48,745,C,214
BH1,2022-07-01T00:55:19,57,C,52
BH2,2022-07-01T00:55:49,47,C,39
BKE7,2022-07-01T00:55:49,172,C,155
BR5,2022-07-01T00:58:20,150,C,28
BRM3,2022-07-01T00:54:54,406,C,160
BRM4,2022-07-01T00:57:53,176,C,38
M16,2022-07-01T00:58:03,124,C,22
M20,2022-07-01T00:58:18,36,C,6
M35,2022-07-01T00:58:34,91,C,5
M36,2022-07-01T00:57:56,17,C,0
M37,2022-07-01T00:55:00,35,C,0
M38,2022-07-01T00:57:32,39,C,3
MM3,2022-07-01T00:58:14,222,C,129
MP12,2022-07-01T00:57:59,220,C,73
MP13,2022-07-01T00:57:59,396,C,188
MP1M,2022-07-01T00:58:25,522,C,248
PP1,2022-07-01T00:58:06,257,C,32
PP2,2022-07-01T00:58:24,192,C,120
PP3,2022-07-01T00:55:01,345,C,82
PP4,2022-07-01T00:54:54,166,C,1
PP5,2022-07-01T00:58:13,346,C,71
TP10,2022-07-01T00:57:37,83,C,32
TP14,2022-07-01T00:58:00,53,C,5
TP16,2022-07-01T00:55:27,668,C,607
TP17,2022-07-01T00:55:26,119,C,62
TP18,2022-07-01T00:54:48,383,C,352
TP2,2022-07-01T00:58:19,85,C,12
TPMG,2022-07-01T00:57:46,116,C,74
TP36,2022-07-01T00:56:39,247,C,0
TPM4,2022-07-01T00:58:19,343,C,106
TPM5,2022-07-01T00:58:19,342,C,172
TPM6,2022-07-01T00:56:39,358,C,124
TP27,2022-07-01T00:57:46,257,C,120
TPMN,2022-07-01T00:57:40,815,C,415
TPMP,2022-07-01T00:57:57,808,C,163
WDB1,2022-07-01T00:57:32,75,C,20
Y23,2022-07-01T00:58:36,823,C,226
Y24,2022-07-01T00:58:36,181,C,61
Y56,2022-07-01T00:58:47,45,C,8
BBM1,2022-07-01T00:57:24,406,C,187
BBM8,2022-07-01T00:58:46,329,C,132
BJ10,2022-07-01T00:58:19,310,C,44
BJ11,2022-07-01T00:56:20,100,C,0
BJ12,2022-07-01T00:58:00,550,C,74
BJ17,2022-07-01T00:59:00,172,C,86
BJ18,2022-07-01T00:57:12,324,C,50
BJ28,2022-07-01T00:54:55,669,C,324
BJ3,2022-07-01T00:57:58,1054,C,175
BJ33,2022-07-01T00:58:19,366,C,224
BJ42,2022-07-01T00:58:19,450,C,134
BJ45,2022-07-01T00:55:45,232,C,129
CK21,2020-03-26T14:26:12,192,C,142
U48,2022-07-01T00:57:51,93,C,29
U5,2022-07-01T00:57:59,101,C,38
JM14,2022-07-01T00:58:29,490,C,234
JM12,2022-07-01T00:58:03,462,C,216
W39,2022-07-01T00:58:36,210,C,0
PL67,2022-07-01T00:58:30,735,C,295
W2,2017-12-04T10:54:50,1000,C,19
W1,2017-12-04T10:54:50,1000,C,53
U9,2022-07-01T00:57:59,400,C,0
U26,2022-07-01T00:57:06,595,C,115
U25,2022-07-01T00:58:15,625,C,138
U24T,2022-07-01T00:58:12,46,C,13
U24,2022-07-01T00:58:12,364,C,50
U23,2022-07-01T00:58:22,713,C,156
U22,2022-07-01T00:58:30,495,C,95
U21,2022-07-01T00:58:05,313,C,68
U2,2022-07-01T00:58:39,1109,C,339
J45,2022-07-01T00:58:24,361,C,75
TM25,2022-07-01T00:56:45,128,C,11
TM26,2022-07-01T00:57:05,124,C,5
TM27,2022-07-01T00:57:07,239,C,161
J37,2022-07-01T00:56:40,269,C,30
BM1,2022-07-01T00:59:07,60,C,21
BM2,2022-07-01T00:59:08,53,C,29
BM26,2022-07-01T00:59:17,460,C,321
BWM,2022-07-01T00:59:17,220,C,102
TBMT,2022-07-01T00:40:10,150,C,41
TPM,2022-07-01T00:59:15,384,C,244
U29,2022-07-01T00:58:03,338,C,308
U27,2022-07-01T00:58:30,20,C,13
U18,2022-07-01T00:58:13,312,C,74
U30,2022-07-01T00:58:10,143,C,78
EPML,2015-12-30T10:38:36,25,C,0
TE25,2022-07-01T00:58:59,298,C,116
TE3,2022-07-01T00:59:00,19,C,0
TE4,2022-07-01T00:59:20,30,C,0
U28,2022-07-01T00:58:02,15,C,13
A15,2022-07-01T00:58:51,59,C,33
BM28,2022-07-01T00:47:06,47,C,0
BM30,2022-07-01T00:45:24,46,C,0
BTM,2022-07-01T00:46:54,292,C,136
BTM2,2022-07-01T00:46:53,496,C,359
SAM2,2022-07-01T00:47:01,336,C,145
TBM2,2022-07-01T00:47:03,243,C,125
TJ34,2022-07-01T00:58:08,350,C,188
U31,2022-07-01T00:58:03,348,C,179
BL13,2022-07-01T00:58:21,413,C,174
HG10,2022-07-01T00:57:24,248,C,89
W3,2018-12-20T03:59:43,1000,C,217
BJ65,2022-07-01T00:58:08,224,C,37
CK19,2022-07-01T00:58:12,70,C,13
CK4,2022-07-01T00:58:07,10,C,2
CK42,2022-07-01T00:58:27,453,C,78
CK7,2022-07-01T00:58:28,298,C,202
TW1,2022-07-01T00:58:25,108,C,5
TW2,2022-07-01T00:58:03,355,C,57
TW3,2022-07-01T00:58:23,338,C,91
BL18M,2016-02-04T18:15:45,353,C,286
B16,2022-07-01T00:56:27,364,C,171
B17,2022-07-01T00:55:51,385,C,146
B20,2022-07-01T00:56:59,385,C,86
B42,2022-07-01T00:55:17,123,C,75
B45,2022-07-01T00:56:58,67,C,33
B6,2022-07-01T00:56:54,521,C,498
B63,2022-07-01T00:55:05,99,C,45
B65,2022-07-01T00:56:49,756,C,175
B7,2022-07-01T00:57:01,86,C,62
B70,2022-07-01T00:56:13,41,C,28
B71,2022-07-01T00:56:00,249,C,112
B7A,2022-07-01T00:56:22,129,C,115
B8,2022-07-01T00:56:13,113,C,67
B80,2022-07-01T00:55:25,250,C,234
B84,2022-07-01T00:56:22,555,C,551
B88M,2015-03-03T05:02:19,120,C,120
B90,2015-03-03T05:02:19,75,C,75
B90M,2015-03-03T05:02:19,75,C,75
CC5,2022-07-01T00:54:16,104,C,56
CC6,2022-07-01T00:56:00,41,C,40
B30,2022-07-01T00:54:57,353,C,53
B31,2022-07-01T00:57:13,415,C,184
TJ28,2022-07-01T00:58:02,755,C,422
TJ31,2022-07-01T00:58:01,833,C,307
TJ37,2019-12-01T08:28:01,384,C,384
TJSF,2018-08-28T17:22:10,842,C,829
AM16,2022-07-01T00:47:22,115,C,42
AM32,2022-07-01T00:47:44,91,C,0
BJ2,2022-07-01T00:58:20,385,C,41
CK48,2022-07-01T00:58:02,287,C,73
BE8,2022-07-01T00:47:49,544,C,280
SE11,2022-07-01T00:47:24,198,C,77
SE20,2022-07-01T00:47:47,548,C,542
SE21,2022-07-01T00:47:47,29,C,18
SE22,2022-07-01T00:47:47,20,C,6
SE23,2022-07-01T00:46:27,185,C,151
SE24,2022-07-01T00:47:16,167,C,144
SE53,2022-07-01T00:47:45,309,C,287
SM9A,2016-04-25T17:56:45,19,C,0
SM9B,2016-04-25T17:56:46,28,C,2
FR4M,2022-07-01T00:46:53,88,C,58
BJ31,2022-07-01T00:58:26,88,C,3
BJ32,2022-07-01T00:58:21,484,C,276
BJ34,2022-07-01T00:58:03,140,C,45
BJ35,2022-07-01T00:58:27,140,C,42
BJ36,2022-07-01T00:58:11,140,C,31
BJ37,2022-07-01T00:58:18,512,C,258
TP31,2022-07-01T00:47:50,50,C,0
BJ38,2022-07-01T00:58:06,216,C,106
BJ39,2022-07-01T00:58:14,550,C,322
BJ40,2022-07-01T00:58:12,585,C,211
CK38,2022-07-01T00:58:13,344,C,94
A38,2022-07-01T00:48:08,938,C,415
A43,2022-07-01T00:47:32,141,C,0
CK8,2022-07-01T00:58:26,750,C,189
CK8A,2022-07-01T00:58:26,373,C,250
CK39,2022-07-01T00:58:14,371,C,78
CK41,2022-07-01T00:58:30,444,C,135
CK46,2022-07-01T00:58:22,673,C,266
CK47,2020-11-03T08:46:36,695,C,533
SE32,2022-07-01T00:47:16,396,C,19
SE33,2022-07-01T00:47:53,302,C,17
SE39,2022-07-01T00:47:53,198,C,41
BJ43,2022-07-01T00:56:34,1004,C,611
CK22,2022-07-01T00:58:17,387,C,146
CK36,2022-07-01T00:58:11,420,C,154
CK37,2022-07-01T00:58:24,306,C,76
A25,2022-07-01T00:48:26,543,C,196
A81,2022-07-01T00:47:12,118,C,0
A82,2022-07-01T00:47:12,201,C,29
A9,2022-07-01T00:47:37,146,C,63
A98,2022-07-01T00:47:01,108,C,49
BJ55,2022-07-01T00:58:05,873,C,497
BJ56,2022-07-01T00:58:07,554,C,193
CK44,2022-07-01T00:58:15,285,C,123
CK45,2022-07-01T00:58:08,220,C,0
SE35,2022-07-01T00:47:55,300,C,71
SE38,2022-07-01T00:47:55,300,C,71
SE40,2022-07-01T00:47:31,407,C,113
BJ30,2022-07-01T00:58:04,611,C,331
CK16,2022-07-01T00:58:08,202,C,0
CK49,2022-07-01T00:58:17,767,C,317
CK50,2021-02-22T09:02:22,374,C,248
CKT1,2022-07-01T00:58:07,104,C,8
CK51,2022-07-01T00:58:18,318,C,129
CK12,2022-07-01T00:58:08,218,C,50
CK13,2022-07-01T00:58:16,326,C,68
CK17,2022-07-01T00:58:05,185,C,18
CK30,2022-07-01T00:58:11,136,C,5
CK31,2022-07-01T00:58:15,290,C,124
BJ41,2022-07-01T00:58:01,389,C,174
CK20,2022-07-01T00:58:26,931,C,304
CK23,2021-07-06T09:42:53,232,C,143
CK34,2022-07-01T00:58:21,318,C,74
CKM1,2021-07-06T09:42:54,669,C,573
BJ1,2022-07-01T00:58:14,457,C,84
BJ48,2022-07-01T00:58:08,672,C,245
CK33,2022-07-01T00:58:09,235,C,63
A37,2022-07-01T00:48:13,193,C,133
A39,2022-07-01T00:48:08,200,C,20
A68,2022-07-01T00:48:54,158,C,0
A70,2022-07-01T00:47:54,134,C,96
A71,2022-07-01T00:47:54,185,C,105
CK40,2022-07-01T00:58:30,500,C,283
A40,2022-07-01T00:48:47,520,C,269
A66,2022-07-01T00:47:45,150,C,21
A69,2022-07-01T00:47:09,476,C,301
A30,2022-07-01T00:48:54,12,C,0
AM80,2022-07-01T00:47:28,191,C,41
AM81,2022-07-01T00:47:28,222,C,109
CC7,2022-07-01T00:55:28,220,C,88
B88,2022-07-01T00:56:27,385,C,110
B71M,2016-03-09T15:26:24,253,C,252
B66,2022-07-01T00:57:13,585,C,244
B53,2022-07-01T00:53:43,197,C,10
B52,2022-07-01T00:57:12,300,C,58
B51,2022-07-01T00:56:09,322,C,109
B45B,2015-08-19T13:50:02,64,C,15
B45A,2015-08-19T13:50:01,75,C,14
B35,2022-07-01T00:57:08,197,C,45
B34,2022-07-01T00:55:17,274,C,155
B33,2022-07-01T00:55:11,129,C,49
B32,2022-07-01T00:55:11,124,C,48
KB17,2022-07-01T00:47:47,50,C,20
KB10,2022-07-01T00:47:54,164,C,84
KB11,2022-07-01T00:47:54,209,C,110
SD9,2022-07-01T00:45:46,41,C,5
W54,2022-07-01T00:59:25,267,C,78
BE23,2022-07-01T00:58:58,563,C,552
Y52M,2022-07-01T00:59:38,361,C,99
Y9,2022-07-01T00:59:32,262,C,109
Y20,2022-07-01T00:59:38,60,C,26
Y10,2022-07-01T00:59:24,1145,C,426
PM30,2022-07-01T00:55:26,351,C,55
PM3,2022-07-01T00:55:29,388,C,99
TWM3,2022-07-01T00:56:32,998,C,781
CK61,2022-07-01T00:56:34,1272,C,936
CK60,2022-07-01T00:56:34,1318,C,882
SK91,2022-07-01T00:59:40,381,C,183
SK75,2022-07-01T00:59:16,167,C,0
SK74,2022-07-01T00:59:39,225,C,94
SK88,2022-07-01T00:59:40,369,C,108
SK71,2022-07-01T00:59:32,233,C,49
SK43,2022-07-01T00:59:24,317,C,177
SK70,2022-07-01T00:59:15,162,C,20
SK92,2022-07-01T00:59:40,296,C,118
SK80,2022-07-01T00:59:16,354,C,66
SK72,2022-07-01T00:59:16,200,C,27
SK73,2022-07-01T00:59:23,208,C,89
SK83,2022-07-01T00:59:19,94,C,0
SK86,2022-07-01T00:59:16,374,C,179
SK78,2022-07-01T00:59:28,264,C,42
SK68,2022-07-01T00:59:20,233,C,70
SK3,2022-07-01T00:59:29,700,C,338
SK58,2022-07-01T00:59:41,1164,C,538
SK62,2019-11-01T10:05:39,646,C,473
SK87,2022-07-01T00:59:24,113,C,29
CK3A,2022-07-01T00:56:30,517,C,384
CK3,2022-07-01T00:56:57,282,C,69
CK55,2022-07-01T00:58:08,356,C,11
CK29,2022-07-01T00:58:11,26,C,0
CK28,2022-07-01T00:58:08,184,C,82
AM22,2022-07-01T00:47:48,289,C,87
AM20,2022-07-01T00:47:48,676,C,387
AM18,2022-07-01T00:47:48,451,C,53
A20,2022-07-01T00:48:44,83,C,0
A65,2022-07-01T00:47:08,97,C,43
A60,2022-07-01T00:48:48,517,C,207
A50,2022-07-01T00:48:44,206,C,5
HG22,2022-07-01T00:59:02,116,C,0
CK25,2022-07-01T00:58:12,183,C,73
CK24,2022-07-01T00:58:14,36,C,0
STAM,2022-07-01T00:46:59,274,C,90
AM79,2022-07-01T00:47:48,472,C,228
A34,2022-07-01T00:48:55,220,C,86
AM96,2022-07-01T00:45:28,525,C,235
A85,2022-07-01T00:58:52,89,C,89
A72,2022-07-01T00:47:09,358,C,122
A67,2022-07-01T00:47:45,717,C,260
JMSU,2018-11-30T11:23:35,1052,C,0
JMSC,2018-11-30T11:26:13,644,C,443
BMVM,2022-07-01T00:51:57,361,C,267
HE3,2022-07-01T00:41:08,148,C,0
TB2,2022-07-01T00:43:07,51,C,0
JKM,2022-07-01T00:40:23,360,C,284
JKS,2022-07-01T00:42:23,42,C,0
SPM,2022-07-01T00:46:55,719,C,525
FR2C,2022-07-01T00:43:07,256,C,148
GM1A,2022-07-01T00:42:24,414,C,245
AR5M,2022-07-01T00:40:16,419,C,221
AR9,2022-07-01T00:46:17,64,C,2
C5,2022-07-01T00:44:41,420,C,239
C9,2022-07-01T00:44:56,316,C,229
U46,2022-07-01T00:58:02,241,C,24
U15,2022-07-01T00:58:10,419,C,102
U3,2022-07-01T00:58:20,159,C,56
U32,2022-07-01T00:58:24,128,C,37
B75,2022-07-01T00:57:12,329,C,243
U38,2022-07-01T00:57:24,115,C,0
U10,2022-07-01T00:58:40,214,C,26
C8,2022-07-01T00:59:08,347,C,174
J60M,2022-07-01T00:58:11,543,C,505
J38,2022-07-01T00:58:16,27,C,9
UBKM,2022-07-01T00:46:00,343,C,189
UBK2,2022-07-01T00:46:00,287,C,63
UBK5,2022-07-01T00:46:25,143,C,59
HE8,2016-02-15T15:12:52,76,C,45
U17,2022-07-01T00:58:02,427,C,110
U4,2022-07-01T00:58:10,259,C,48
U1,2022-07-01T00:58:01,516,C,150
TGML,2022-07-01T00:59:21,4,C,3
BRBL,2022-07-01T00:58:23,12,C,9
BL18,2022-07-01T00:58:24,401,C,248
BRB1,2022-07-01T00:58:23,168,C,165
J61,2022-07-01T00:58:09,779,C,156
J73,2022-07-01T00:58:13,713,C,213
J74,2022-07-01T00:58:13,367,C,56
U39,2022-07-01T00:58:02,248,C,234
U40,2022-07-01T00:58:03,288,C,250
U41,2022-07-01T00:58:26,28,C,28
C3M,2022-07-01T00:43:09,882,C,226
C4M,2022-07-01T00:45:30,392,C,142
J70,2022-07-01T00:58:20,147,C,0
J75M,2022-07-01T00:58:11,326,C,100
JM15,2022-07-01T00:58:24,474,C,312
JM18,2022-07-01T00:58:19,559,C,278
C24,2022-07-01T00:40:10,450,C,20
C27,2022-07-01T00:43:14,16,C,3
KTM5,2022-07-01T00:47:08,512,C,208
KTM6,2019-08-01T08:03:57,252,C,248
BP2,2022-07-01T00:59:01,466,C,116
BBM3,2022-07-01T00:58:04,1214,C,463
BBM5,2022-07-01T00:58:06,951,C,341
U33,2022-07-01T00:58:13,290,C,72
U34,2022-07-01T00:58:09,303,C,57
J84M,2022-07-01T00:58:21,285,C,121
J85M,2022-07-01T00:58:25,269,C,94
Q84,2022-07-01T00:42:26,207,C,32
Q87,2022-07-01T00:45:26,430,C,272
Q89,2022-07-01T00:45:26,435,C,295
BM5,2022-07-01T00:47:04,46,C,2
TB1,2022-07-01T00:43:17,58,C,3
TB3,2022-07-01T00:47:08,154,C,7
TB9,2022-07-01T00:43:18,77,C,0
TBC3,2022-07-01T00:43:17,106,C,68
C26,2022-07-01T00:47:09,35,C,27
C25,2022-07-01T00:47:08,154,C,34
C22M,2022-07-01T00:43:14,188,C,137
JM7,2022-07-01T00:58:30,1165,C,704
JM30,2022-07-01T00:58:17,754,C,422
J72,2022-07-01T00:58:02,220,C,0
J69,2022-07-01T00:59:14,222,C,34
JM23,2019-12-01T08:16:38,793,C,227
JM19,2022-07-01T00:58:23,1176,C,456
U43,2022-07-01T00:58:18,270,C,91
U43Z,2019-07-03T03:59:43,1000,C,85
W21,2022-07-01T00:58:57,486,C,43
W24,2022-07-01T00:58:30,557,C,58
M25,2022-07-01T00:57:21,424,C,131
M3,2022-07-01T00:58:11,126,C,0
M4,2022-07-01T00:57:05,470,C,152
MM1,2022-07-01T00:58:11,176,C,69
MM2,2022-07-01T00:57:21,563,C,386
MM4,2022-07-01T00:58:11,288,C,174
UA2,2022-07-01T00:58:40,73,C,6
UA3,2022-07-01T00:56:51,245,C,32
UA5,2022-07-01T00:58:29,337,C,76
UAM1,2022-07-01T00:57:17,466,C,291
JM31,2022-07-01T00:58:12,188,C,113
BBM9,2022-07-01T00:58:09,1200,C,374
C21M,2022-07-01T00:40:56,383,C,221
U13,2022-07-01T00:58:19,661,C,145
C13M,2022-07-01T00:44:58,280,C,205
C12,2022-07-01T00:44:58,323,C,190
C14M,2022-07-01T00:48:55,212,C,115
C10,2022-07-01T00:43:16,767,C,287
BL10,2022-07-01T00:58:14,239,C,82
BL19,2022-07-01T00:58:20,369,C,149
BL3,2022-07-01T00:58:24,196,C,187
J50,2022-07-01T00:58:03,427,C,49
J60L,2022-07-01T00:58:04,10,C,7
J62,2022-07-01T00:58:13,376,C,0
J62M,2022-07-01T00:58:21,200,C,148
J63,2022-07-01T00:58:05,150,C,2
J65,2022-07-01T00:58:19,1083,C,325
J71,2022-07-01T00:58:21,450,C,0
J76M,2022-07-01T00:58:12,415,C,189
J77M,2022-07-01T00:58:28,350,C,183
J78M,2022-07-01T00:58:24,458,C,78
J79M,2022-07-01T00:58:03,337,C,102
J80M,2022-07-01T00:58:00,441,C,119
J81M,2022-07-01T00:58:26,466,C,95
J82M,2022-07-01T00:59:19,535,C,188
J83M,2022-07-01T00:58:11,121,C,0
J86M,2022-07-01T00:58:15,191,C,73
J88M,2022-07-01T00:58:19,603,C,343
J89M,2022-07-01T00:58:21,591,C,356
J98M,2022-07-01T00:58:17,489,C,296
J99M,2022-07-01T00:58:12,502,C,315
JM10,2022-07-01T00:58:22,367,C,164
JM13,2022-07-01T00:58:17,1061,C,594
JM22,2022-07-01T00:58:06,538,C,269
JM25,2022-07-01T00:58:09,505,C,281
JM28,2022-07-01T00:58:14,1302,C,817
JM29,2021-03-08T07:44:02,641,C,387
TBM3,2022-07-01T00:43:14,385,C,308
TBM4,2022-07-01T00:47:09,503,C,305
BJ49,2022-07-01T00:56:30,4443,C,3565
Y11,2022-07-01T00:59:17,678,C,209
Y8,2022-07-01T00:59:21,697,C,300
Y13,2022-07-01T00:59:15,262,C,57
Y3,2022-07-01T00:59:15,403,C,85
Y3M,2022-07-01T00:59:35,206,C,54
Y39,2022-07-01T00:59:32,225,C,48
MPS,2021-02-05T09:25:47,31,C,10
Y48,2022-07-01T00:58:14,485,C,98
Y48M,2022-07-01T00:58:14,257,C,156
Y15,2022-07-01T00:59:29,335,C,121
Y4,2022-07-01T00:59:40,807,C,182
Y27,2022-07-01T00:59:29,286,C,76
Y49,2022-07-01T00:58:11,566,C,108
Y21M,2022-07-01T00:59:35,367,C,160
Y28,2022-07-01T00:59:39,297,C,104
Y28M,2022-07-01T00:59:41,375,C,239
Y33,2022-07-01T00:59:20,101,C,11
Y49M,2022-07-01T00:57:41,267,C,183
Y49L,2022-07-01T00:57:41,27,C,2
Y49HV,2016-02-15T21:52:35,3,C,28
Y7,2022-07-01T00:59:40,667,C,184
Y57,2022-07-01T00:57:59,18,C,0
Y21,2022-07-01T00:59:38,77,C,32
SB19,2022-07-01T00:59:24,789,C,380
SB24,2021-03-16T09:49:04,387,C,202
S19L,2021-03-16T09:49:04,4,C,3
S24L,2021-03-16T09:49:04,2,C,0
SB2,2022-07-01T00:59:31,383,C,211
SB16,2022-07-01T00:59:15,714,C,452
SB26,2022-07-01T00:59:26,1401,C,790
SB27,2021-06-30T09:29:09,395,C,283
SB28,2021-06-30T09:29:09,498,C,341
SB28L,2016-02-25T22:52:35,8,C,8
SB3,2022-07-01T00:59:30,359,C,152
SB15,2022-07-01T00:59:42,1549,C,1016
S15L,2020-04-01T09:24:04,15,C,12
SB4,2022-07-01T00:59:42,272,C,159
SB5,2022-07-01T00:59:42,395,C,196
SB18,2020-04-01T09:20:04,644,C,401
SB21,2022-07-01T00:59:26,1454,C,777
SB29,2022-07-01T00:59:21,628,C,385
SB30,2022-07-01T00:59:40,922,C,701
SB31,2022-07-01T00:59:29,202,C,71
SB23,2022-07-01T00:59:27,550,C,302
SB22,2022-07-01T00:59:18,715,C,414
SB34,2022-07-01T00:59:19,63,C,1
SK36,2022-07-01T00:59:25,1336,C,709
SK37,2021-05-21T08:39:13,538,C,342
SK42,2021-05-21T08:39:13,465,C,286
SK23,2022-07-01T00:59:34,674,C,391
SK10,2022-07-01T00:59:21,394,C,177
SK19,2022-07-01T00:59:32,609,C,245
SK20,2021-01-08T08:45:23,283,C,188
SK11,2022-07-01T00:59:19,362,C,147
SK45,2022-07-01T00:59:40,556,C,283
SK4,2022-07-01T00:59:38,593,C,331
SK77,2022-07-01T00:59:13,412,C,53
SK16,2022-07-01T00:59:30,429,C,202
SK63,2022-07-01T00:59:32,494,C,235
SK7,2022-07-01T00:59:30,539,C,331
MR4,2022-07-01T00:46:16,35,C,9
CR7,2022-07-01T00:46:15,183,C,59
KB4,2022-07-01T00:57:52,408,C,190
JRM,2022-07-01T00:47:55,280,C,152
SD5,2022-07-01T00:47:48,64,C,30
KB12,2022-07-01T00:47:47,181,C,78
UBK4,2022-07-01T00:46:02,53,C,12
SD2,2022-07-01T00:46:52,29,C,2
SDM2,2022-07-01T00:46:52,135,C,40
MR567,2016-02-15T21:52:35,38,C,94
SG3,2022-07-01T00:47:30,143,C,27
NBRM,2022-07-01T00:46:21,395,C,283
SG2,2022-07-01T00:47:30,103,C,30
SDM,2022-07-01T00:44:50,192,C,167
SD3,2022-07-01T00:47:46,102,C,80
W107,2022-07-01T00:59:42,50,C,0
W30,2022-07-01T00:59:21,285,C,140
W28,2022-07-01T00:59:38,27,C,15
